Episode,Reward,Epsilon,Alpha,Steps,Max_Q
352,40.518182529616155,0.1712870076899825,0.14857346314773645,100,19.13411647951684
353,31.92760411062893,0.17043057265153258,0.148276316221441,100,19.13411647951684
354,16.75122858243255,0.16957841978827493,0.14797976358899811,100,19.13411647951684
355,34.23182504766932,0.16873052768933355,0.1476838040618201,100,19.13411647951684
356,25.45988179141554,0.1678868750508869,0.14738843645369648,100,19.13411647951684
357,27.79878768556967,0.16704744067563246,0.14709365958078907,100,19.13411647951684
358,21.507852813105423,0.1662122034722543,0.14679947226162748,100,19.13411647951684
359,23.40236828095157,0.16538114245489302,0.14650587331710424,100,19.13411647951684
360,13.1359703309518,0.16455423674261854,0.14621286157047003,100,19.13411647951684
361,22.848724525666533,0.16373146555890544,0.14592043584732908,100,19.13411647951684
362,25.6503100013913,0.16291280823111093,0.14562859497563443,100,19.13411647951684
363,39.674951671827955,0.16209824418995536,0.14533733778568317,100,19.13411647951684
364,24.036067275247987,0.16128775296900558,0.1450466631101118,100,19.13411647951684
365,36.24733316503166,0.16048131420416054,0.14475656978389156,100,19.13411647951684
